Metabolite,Vip_plsda,Vip_oplsda,P_value,fdr,FC,NOP_1_V,NOP_2_V,NOP_3_V,NOP_4_V,NOP_5_V,NOP_6_V,NOP_7_V,NOP_8_V,NOP_9_V,NOP_10_V,NOP_11_V,NOP_12_V,NOP_13_V,NOP_14_V,NOP_15_V,NOP_16_V,NOP_17_V,NOP_18_V,NOP_19_V,NOP_22_V,NOP_23_V,NOP_24_V,NOP_26_V,NOP_27_V,NOP_30_V,NOP_31_V,P_1_V,P_2_V,P_4_V,P_6_V,P_8_V,P_9_V,P_15_V,P_16_V,P_17_V,P_18_V,P_19_V,P_20_V,P_21_V,P_22_V,P_23_V,P_25_V,P_26_V,P_27_V,P_28_V,P_29_V,P_30_V,P_32_V,P_33_V,P_35_V,P_36_V,P_37_V,P_38_V,P_42_V,P_43_V,P_44_V,P_45_V,P_46_V
"(-)-trans-3,4-Dihydro-4,8-dihydroxy-3-methyl-1H-2-benzopyran-1-one",1.338332452,1.466024034,0.02954,0.1887,1.052104208,2.331424052,2.174908524,2.244285983,2.235843688,2.636215379,2.214722989,2.302424836,2.632579175,2.375651561,2.393655334,2.228666249,2.549054494,2.43604442,2.612495158,2.434101672,2.793006584,2.950459773,2.861489896,2.675470637,2.755349658,2.522331112,2.600448725,2.36582214,2.374638232,2.603050828,2.575113896,2.642924041,2.589907013,2.738102742,2.401411189,2.375504681,2.465946006,2.795730431,2.430764901,2.315545782,2.897305891,2.786113228,2.97535898,2.741784531,2.808938212,2.56471694,2.545776322,2.334095294,2.361381408,2.543707695,2.591408876,2.333046163,2.206169633,2.761151646,2.695945615,2.424024829,2.372838714,2.889221227,2.748250244,2.901715322,2.985266272,2.823889885,2.953215749
"5,7-Megastigmadien-9-ol glucoside",1.197454329,1.243908071,0.04022,0.2264,0.897106109,1.394500662,1.416012648,1.273384752,1.419750506,1.333299749,1.409820279,1.278113967,1.233375655,1.05675862,1.394150564,1.391673972,1.390168927,0.699413529,1.417116714,1.361751597,1.397418947,1.334763333,0.777796993,1.069753551,1.010474791,1.22428108,0.891385279,1.191455594,1.366085155,1.277980972,1.341457487,0.954397687,1.300426102,1.141147419,1.077606925,1.063703071,0.961030317,1.394136676,1.167662583,1.290429935,1.249121416,1.185959267,0.812588463,1.091083953,1.116866764,1.074489293,1.363680834,0.556721407,0.803377933,1.49557004,0.888378917,1.013411105,1.257887849,0.624112199,1.103784651,1.168172259,1.227592008,1.780797857,1.013346281,0.901011717,1.096307986,1.021868046,1.519554424
12(R)-HETE,2.213835193,2.401713088,0.01039,0.0928,0.864633693,3.353578298,2.495354804,2.100734827,2.473216491,2.578923202,2.401741159,3.532084645,2.38734394,1.903361939,2.002370234,2.873007537,2.707913907,3.04065237,3.679958393,2.758093626,2.751865754,2.812166454,2.219378856,3.258239208,3.048657567,3.348013291,2.397877106,2.22125722,1.731456866,2.792459513,3.049509477,1.519069346,3.530691438,3.313654115,2.044844514,2.335621896,1.736259462,1.497835882,2.023468996,1.699941023,2.304980934,2.80101941,2.637068289,2.615404657,1.960635043,1.981222745,2.838944728,1.199250143,2.431283327,2.588447173,2.503351808,3.231829222,2.735006409,2.169302101,2.298410831,2.189360576,1.919388684,2.720438236,2.133448658,2.632869906,2.464761475,1.928536377,2.419410569
(E)-Casimiroedine,1.872757429,1.877914583,0.01969,0.1458,1.285961167,0.566103207,0.749638706,1.704128938,1.260289498,0.737164469,1.206942151,1.357945153,0.61816243,1.224867325,0.574809651,0.77315709,1.176669277,0.867980096,0.240038676,0.979744288,0.958211524,1.40400649,1.343193806,0.938262798,0.86493589,0.98020305,1.154527421,0.794242027,1.114699676,1.58641401,0.400615303,1.725222185,0.241969805,1.576258406,1.222381924,1.64254084,1.11938186,1.552017967,1.964519393,0.260369001,1.484359478,1.024307206,0.2425204,0.899013065,1.685895286,1.692697901,0.912433248,1.569058745,1.614441795,1.336491723,1.720969165,1.356638752,1.863067195,1.626634413,0.909190776,1.406192615,1.803273602,1.149043336,1.316012342,0.584337988,1.557941395,1.168388202,0.252255802
Norerythromycin,1.583856708,1.850560842,0.01385,0.1131,0.915646853,2.470786868,1.870212332,2.237793183,2.091318733,2.372596897,2.283169474,2.245500516,1.962829281,2.179548699,2.215233159,2.492134409,2.476394759,2.341410164,2.43347536,2.334535225,2.344311581,2.427836552,2.368641492,2.309788309,2.223369537,2.289912395,2.554524258,2.357926639,2.26711939,2.176516151,2.156580944,1.907008194,2.011080278,2.096333749,2.05404856,2.334002664,2.353142885,2.187007092,2.276335234,2.307623471,2.175005627,2.142095642,0.244299945,2.128399069,2.108261155,2.108721042,2.169821731,2.394273401,2.278213004,2.03806588,2.228025131,2.194401889,2.195120633,2.307859803,1.968386909,2.314430131,2.108111682,2.021069069,2.086628244,2.014929785,2.097573063,2.073887892,2.128507906
Tryptophyl-Glycine,2.355401694,2.602748811,0.01635,0.1268,1.24,1.260740668,0.102352691,1.067270149,0.103324987,1.877260629,0.75974468,0.106456972,1.966834137,1.047934704,1.327720462,0.612329654,1.90244642,1.52836267,1.814207734,1.635574631,2.2647232,2.40838365,2.035138025,1.90067258,2.12927695,1.711533972,1.844921739,1.549331354,1.615797575,1.859867642,1.911416315,1.747251679,1.781021475,1.992912635,1.528259514,1.376589925,1.613111649,2.250817201,1.24135504,1.332947266,1.901572872,2.147585622,2.463916472,2.235510617,2.184331703,1.992727722,1.913712054,1.282095205,1.120822352,1.73962945,1.976224345,0.94157067,1.039445641,1.905293578,1.983930074,1.69224732,1.66188362,2.326905214,2.076411097,2.430399047,2.374234617,2.133290214,2.150214968
Somatostatin fragment 3-14,1.919889155,2.252545971,0.001137,0.01941,0.900454545,2.200510844,2.344474392,2.089189039,2.268842892,2.04594803,2.352936533,2.360565243,2.134730053,2.235521212,2.151986364,2.282310828,2.240664629,2.544838527,2.189252258,2.443625458,2.185088891,2.171349653,1.959818941,2.178081645,2.213931686,1.989830512,2.166105403,2.123157764,1.82106661,2.69301064,1.811638044,1.381207258,1.362198223,2.280183926,2.151771028,1.980892959,1.873076573,1.830355675,2.216029051,2.032531202,2.190242154,1.789547399,1.36343023,2.283053329,1.913544177,2.204722589,2.387559517,2.179082695,1.947936104,2.256309235,1.567244707,2.149242216,1.899422356,1.981436232,2.367254911,1.785983593,1.847090363,2.071727017,1.913985524,2.189606143,2.064908839,2.021769893,1.90103478
Indole-3-acetamide,1.72576325,1.954478897,0.02517,0.1724,1.294523171,0.5891777,0.096196718,0.99398024,0.097116843,0.71057768,0.262251115,0.10008152,0.855479545,1.117257182,1.093683243,0.147085575,0.76067031,1.563359963,1.018785456,0.375185343,0.306978224,0.7012662,1.38609164,0.991188979,0.979394513,1.285362047,0.678284456,0.462359595,1.348940566,1.26142718,1.183211313,0.78036357,0.899193226,0.288715536,1.05187884,1.433994339,1.380104077,0.94847623,0.648169945,1.434230702,0.384540495,1.178658922,1.349583188,0.566596108,0.705167348,1.369621124,1.135718497,0.61482844,1.000044225,1.304899051,1.15309678,0.980225827,1.301795277,1.331773026,0.9793464,1.231636461,0.557915886,0.786972885,1.008022072,1.339434739,1.132034721,0.976580409,1.190984974
Vignatic acid B,1.93270523,2.015828734,0.008443,0.0795,1.255001053,0.834892022,0.977391517,1.510912039,1.00769777,1.579903475,0.567968603,1.349148543,0.82255574,0.754099514,1.219052041,1.374005535,1.243017885,0.390218949,0.63229595,0.373577502,1.019027117,0.369799663,0.690719072,1.647032489,0.364671396,1.165074499,1.256383453,1.307319472,1.173631783,0.458093239,0.606700365,1.395054542,1.440843905,1.103970957,1.253401721,1.192415364,0.762233623,1.175366854,1.225519065,1.064904945,0.858669409,1.877636156,1.152709721,1.004862566,1.179387613,1.201095355,0.974430732,1.429158653,1.659640015,1.661359654,1.128236549,1.117769568,1.474220777,1.279961673,0.999257002,1.232054866,0.980904645,1.149837806,0.932867288,1.318708893,1.225486481,1.201847268,0.491522994
"2-[4-(3-Hydroxypropyl)-2-methoxyphenoxy]-1,3-propanediol 1-glucoside",2.781345872,3.136316281,0.0001084,0.003429,1.369876072,0.435603899,1.201046097,1.205030168,1.417450068,1.586151262,1.198887471,0.888702106,1.26274317,1.746985338,1.171717466,1.307226081,1.413482361,0.385192215,0.516591603,0.264355162,1.161304954,0.348502133,0.712217138,1.735120582,0.89037953,1.572619169,1.04743466,1.1654793,1.355513378,0.448830557,0.838838671,1.576425797,1.963295222,1.14481761,1.549920078,1.715034325,0.667936798,1.267320576,1.486994843,1.371223888,0.883349729,1.313486215,1.864350764,1.318227684,1.412077111,1.500770334,1.269420498,1.388019521,1.636334341,1.454437891,1.65163165,1.49118208,1.673196919,1.495336159,1.382052218,1.386173778,1.242930367,1.895004486,1.476891063,1.488264792,1.38970796,1.286641606,1.349267126
