micro,clinic,cor_value,p_value
Actinobaculum_sp_oral_taxon_183,BMI,0.24668984592023738,0.06942361209452988
Actinobaculum_sp_oral_taxon_183,WC,0.22307109095347727,0.10162173832089513
Actinobaculum_sp_oral_taxon_183,WHR,0.00826258576543774,0.9522587734431486
Actinobaculum_sp_oral_taxon_183,Menstrual.cycles,-0.1626556796978209,0.23542457417716936
Actinobaculum_sp_oral_taxon_183,Acne,0.22364915955726442,0.10071549130396532
Actinobaculum_sp_oral_taxon_183,Hair.loss,0.11714955976809087,0.39433211630206577
Actinobaculum_sp_oral_taxon_183,FG.score,0.14068161639366378,0.305615790151573
Actinobaculum_sp_oral_taxon_183,BG0,0.06451181473781692,0.63983370149358
Actinobaculum_sp_oral_taxon_183,BG120,-0.19241381945026842,0.15931086240446407
Actinobaculum_sp_oral_taxon_183,INS0,0.019887948156825264,0.885406172390161
Actinobaculum_sp_oral_taxon_183,INS120,0.10727318218619986,0.43566200356547535
Actinobaculum_sp_oral_taxon_183,CP0,0.14006422353583295,0.30776458149095204
Actinobaculum_sp_oral_taxon_183,CP120,0.28704820975187756,0.03359903573123502
Actinobaculum_sp_oral_taxon_183,HOMA.IR,0.041869364540684774,0.7614992904707563
Actinobaculum_sp_oral_taxon_183,AUC.Ins.,0.18164702416317882,0.18442242180398566
Actinobaculum_sp_oral_taxon_183,ALT,0.22753044038893266,0.09479181082593281
Actinobaculum_sp_oral_taxon_183,rGT,0.24192390604519665,0.07516062641717354
Actinobaculum_sp_oral_taxon_183,UA,-0.0525041831340187,0.7034254457604812
Actinobaculum_sp_oral_taxon_183,TG,-0.010385101193973796,0.9400150508673377
Actinobaculum_sp_oral_taxon_183,HDL,-0.015371048557252869,0.9113126856154236
Actinobaculum_sp_oral_taxon_183,FFA,0.06886554986886997,0.617368235310497
Actinobaculum_sp_oral_taxon_183,IL6,0.058434480808605145,0.6717333234671345
Actinobaculum_sp_oral_taxon_183,IL8,0.3073370380409075,0.022461617167382736
Actinobaculum_sp_oral_taxon_183,SOD,-0.10854541667096504,0.4302058926499548
Actinobaculum_sp_oral_taxon_183,E2,0.1217736865809508,0.3758023606596208
Actinobaculum_sp_oral_taxon_183,T,-0.1294509019047945,0.3462161309229058
Actinobaculum_sp_oral_taxon_183,FSH,-0.1852131625932224,0.17580844285993302
Actinobaculum_sp_oral_taxon_183,LH,-0.015201047409189787,0.9122896829490779
Actinobaculum_sp_oral_taxon_183,LH.FSH,-0.04301768881875739,0.7551587716557043
Actinobaculum_sp_oral_taxon_183,PRL,0.049840729654307664,0.7178277169404956
Actinobaculum_sp_oral_taxon_183,FT,0.041266362500657704,0.7648350595439614
Actinobaculum_sp_oral_taxon_183,AD,0.1014855930930497,0.4609662471987642
Actinobaculum_sp_oral_taxon_183,DHEAS,0.09710232061977324,0.48064919963979047
Actinobaculum_sp_oral_taxon_183,SHBG,0.11540144897101089,0.4014745943728726
Actinobaculum_sp_oral_taxon_183,VAT.Mass,0.11208778987590039,0.4152187656924956
Actinobaculum_sp_oral_taxon_183,VAT.Volume,0.11208778987590039,0.4152187656924956
Mogibacterium_diversum,BMI,0.35730235922432424,0.007406492326755954
Mogibacterium_diversum,WC,0.2796672122723211,0.03865033089973647
Mogibacterium_diversum,WHR,0.06540874696000072,0.6351783006820491
Mogibacterium_diversum,Menstrual.cycles,0.10376566974045967,0.45090339320326844
Mogibacterium_diversum,Acne,0.15241520959909466,0.26661816163460994
Mogibacterium_diversum,Hair.loss,-0.09930081837516774,0.4707217572097846
Mogibacterium_diversum,FG.score,-0.04222108495394064,0.7595555773045966
Mogibacterium_diversum,BG0,0.04848668429018318,0.7251874321885766
Mogibacterium_diversum,BG120,-0.09873954229506378,0.47324572945960797
Mogibacterium_diversum,INS0,0.09935937484037669,0.4704588542297319
Mogibacterium_diversum,INS120,-0.06282818722838159,0.6486095196186523
Mogibacterium_diversum,CP0,0.04937155361061208,0.7203750152711356
Mogibacterium_diversum,CP120,0.06216131231754925,0.6520988041609093
Mogibacterium_diversum,HOMA.IR,0.13966964752781022,0.3091429492358872
Mogibacterium_diversum,AUC.Ins.,0.014402690451820441,0.9168795430896896
Mogibacterium_diversum,ALT,-0.04147461515881231,0.7636825364878852
Mogibacterium_diversum,rGT,-0.1323341254768353,0.33548798554733406
Mogibacterium_diversum,UA,-0.1786725600199756,0.19183602683659307
Mogibacterium_diversum,TG,-0.1986747914975344,0.14591606894873838
Mogibacterium_diversum,HDL,-0.030914581950048373,0.822713621335443
Mogibacterium_diversum,FFA,0.23675528985075758,0.08180072435188396
Mogibacterium_diversum,IL6,-0.178121366668307,0.1932328833348283
Mogibacterium_diversum,IL8,0.01186547583581491,0.9314834921095112
Mogibacterium_diversum,SOD,-0.15653678164504503,0.25374686552024006
Mogibacterium_diversum,E2,0.1818219389829355,0.1839929672388461
Mogibacterium_diversum,T,-0.34236063409746337,0.01051167795028952
Mogibacterium_diversum,FSH,0.06680842389310788,0.6279414361733154
Mogibacterium_diversum,LH,0.19333912212895318,0.15727631009733176
Mogibacterium_diversum,LH.FSH,0.020454148872841513,0.8821665613725344
Mogibacterium_diversum,PRL,-0.13956971075450744,0.3094926852032397
Mogibacterium_diversum,FT,-0.16554512714058536,0.22709671564177558
Mogibacterium_diversum,AD,-0.032416746791505024,0.8142484640870504
Mogibacterium_diversum,DHEAS,0.09834912627235512,0.47500562596453666
Mogibacterium_diversum,SHBG,-0.033364636277810444,0.8089175753685375
Mogibacterium_diversum,VAT.Mass,0.15371733363541396,0.2625054668657008
Mogibacterium_diversum,VAT.Volume,0.15371733363541396,0.2625054668657008
Actinomyces_sp_oral_taxon_181,BMI,0.3057266764486281,0.023213586213810387
Actinomyces_sp_oral_taxon_181,WC,0.18856046369515103,0.16799179574872314
Actinomyces_sp_oral_taxon_181,WHR,-0.01573394223847277,0.9092275715521015
Actinomyces_sp_oral_taxon_181,Menstrual.cycles,0.1641135751201636,0.23119681504904593
Actinomyces_sp_oral_taxon_181,Acne,0.16607848245398174,0.225582091964731
Actinomyces_sp_oral_taxon_181,Hair.loss,-0.015098043859452882,0.9128817075485408
Actinomyces_sp_oral_taxon_181,FG.score,0.08395979601668356,0.5422339884677394
Actinomyces_sp_oral_taxon_181,BG0,-0.14967850807103517,0.27540159809423154
Actinomyces_sp_oral_taxon_181,BG120,-0.14339993175375743,0.2962701285712178
Actinomyces_sp_oral_taxon_181,INS0,-0.04277328507378842,0.7565069310580256
Actinomyces_sp_oral_taxon_181,INS120,-0.08087401357182661,0.5572276678448206
Actinomyces_sp_oral_taxon_181,CP0,-0.04730230952934349,0.7316452344633475
Actinomyces_sp_oral_taxon_181,CP120,-0.04709370738665523,0.7327845673047959
Actinomyces_sp_oral_taxon_181,HOMA.IR,-0.01729560246151906,0.9002616891556141
Actinomyces_sp_oral_taxon_181,AUC.Ins.,-0.01647207734419717,0.9049882842147654
Actinomyces_sp_oral_taxon_181,ALT,-0.105660480786679,0.44263362743672163
Actinomyces_sp_oral_taxon_181,rGT,-0.04563079303111415,0.7407905910727013
Actinomyces_sp_oral_taxon_181,UA,-0.1189871700494157,0.3869050781174095
Actinomyces_sp_oral_taxon_181,TG,-0.23093966726267695,0.08981552129608272
Actinomyces_sp_oral_taxon_181,HDL,0.014469447812575796,0.916495640939883
Actinomyces_sp_oral_taxon_181,FFA,0.1832065504269877,0.1806188016378456
Actinomyces_sp_oral_taxon_181,IL6,-0.30119899635713715,0.02544244803182999
Actinomyces_sp_oral_taxon_181,IL8,-0.04039999563803134,0.7696351594546528
Actinomyces_sp_oral_taxon_181,SOD,-0.0690018421255999,0.6166704033714133
Actinomyces_sp_oral_taxon_181,E2,0.05004940981568732,0.7166957058024348
Actinomyces_sp_oral_taxon_181,T,-0.19088427403947084,0.1627163253622852
Actinomyces_sp_oral_taxon_181,FSH,0.0722585001960136,0.6000970836411896
Actinomyces_sp_oral_taxon_181,LH,0.021243983190198004,0.8776506018462487
Actinomyces_sp_oral_taxon_181,LH.FSH,-0.2125300622740281,0.11927626264322466
Actinomyces_sp_oral_taxon_181,PRL,-0.006211631636711831,0.9641001333959769
Actinomyces_sp_oral_taxon_181,FT,-0.06907313306117208,0.6163055195263207
Actinomyces_sp_oral_taxon_181,AD,-0.02957496396420403,0.830279753842339
Actinomyces_sp_oral_taxon_181,DHEAS,0.2350602117845005,0.08407627623894115
Actinomyces_sp_oral_taxon_181,SHBG,-0.12880415554407887,0.3486514239442675
Actinomyces_sp_oral_taxon_181,VAT.Mass,0.032029598798148845,0.8164281877509243
Actinomyces_sp_oral_taxon_181,VAT.Volume,0.032029598798148845,0.8164281877509243
Enterorhabdus_caecimuris,BMI,0.13531934521626057,0.3246020087166228
Enterorhabdus_caecimuris,WC,0.06120316692639067,0.6571250618659393
Enterorhabdus_caecimuris,WHR,-0.20065081371499568,0.14186754937799595
Enterorhabdus_caecimuris,Menstrual.cycles,-0.034654578233269416,0.8016768596824855
Enterorhabdus_caecimuris,Acne,-0.12247453975754954,0.37304023220686844
Enterorhabdus_caecimuris,Hair.loss,-0.189036789625783,0.16690041385562157
Enterorhabdus_caecimuris,FG.score,0.12639429825182674,0.35781838824635914
Enterorhabdus_caecimuris,BG0,-0.0375058922922334,0.7857312335367922
Enterorhabdus_caecimuris,BG120,-0.057003745814500496,0.6793301270120167
Enterorhabdus_caecimuris,INS0,-0.1740090790310859,0.20388388255696097
Enterorhabdus_caecimuris,INS120,-0.1846505595008358,0.1771476812628724
Enterorhabdus_caecimuris,CP0,0.06601112927406481,0.6320595511067582
Enterorhabdus_caecimuris,CP120,0.03499565705107574,0.7997650484244414
Enterorhabdus_caecimuris,HOMA.IR,-0.111037554761896,0.41963055595836507
Enterorhabdus_caecimuris,AUC.Ins.,-0.06507262304128726,0.6369212764084002
Enterorhabdus_caecimuris,ALT,-0.029142654860268152,0.8327247270229958
Enterorhabdus_caecimuris,rGT,0.06490641381700397,0.6377838792603775
Enterorhabdus_caecimuris,UA,-0.022525718122888404,0.8703304358691013
Enterorhabdus_caecimuris,TG,-0.14861582313472985,0.27886339638510926
Enterorhabdus_caecimuris,HDL,0.059808875585169195,0.6644662047156351
Enterorhabdus_caecimuris,FFA,0.020814806374633416,0.8801039942810598
Enterorhabdus_caecimuris,IL6,-0.10416388889594538,0.4491583778243755
Enterorhabdus_caecimuris,IL8,0.08779160853286078,0.5238917634175018
Enterorhabdus_caecimuris,SOD,-0.07889884154352841,0.5669267303181311
Enterorhabdus_caecimuris,E2,0.23831294715687448,0.07975270171296897
Enterorhabdus_caecimuris,T,0.048036293912908215,0.7276409769176999
Enterorhabdus_caecimuris,FSH,0.1470564029545011,0.28399519591263056
Enterorhabdus_caecimuris,LH,0.043718714862793766,0.7512958603218144
Enterorhabdus_caecimuris,LH.FSH,-0.08616103787749167,0.5316590941806596
Enterorhabdus_caecimuris,PRL,-0.02697263016586062,0.8450208562798457
Enterorhabdus_caecimuris,FT,-0.0677006338450543,0.6233463833106423
Enterorhabdus_caecimuris,AD,0.07604232117028793,0.5810910432375671
Enterorhabdus_caecimuris,DHEAS,0.02644325652793035,0.8480261657192916
Enterorhabdus_caecimuris,SHBG,-0.08337392192842805,0.545065627429453
Enterorhabdus_caecimuris,VAT.Mass,-0.06251537865531351,0.650245298337613
Enterorhabdus_caecimuris,VAT.Volume,-0.06251537865531351,0.650245298337613
Asaccharobacter_celatus,BMI,0.18592820146752315,0.17411694575988426
Asaccharobacter_celatus,WC,0.03848737759483689,0.7802621794298641
Asaccharobacter_celatus,WHR,-0.25139899189296017,0.06410351005987168
Asaccharobacter_celatus,Menstrual.cycles,-0.06588286702169677,0.6327230806433473
Asaccharobacter_celatus,Acne,-0.09899879397012362,0.47207901669135144
Asaccharobacter_celatus,Hair.loss,-0.20927593155709673,0.1251727209048028
Asaccharobacter_celatus,FG.score,0.15867245536981348,0.2472454286899755
Asaccharobacter_celatus,BG0,-0.000672112215168869,0.9961142963097426
Asaccharobacter_celatus,BG120,-0.0969698938993326,0.48125069666479425
Asaccharobacter_celatus,INS0,-0.15140563220460498,0.2698363421147323
Asaccharobacter_celatus,INS120,-0.20404926150716113,0.13510164756373466
Asaccharobacter_celatus,CP0,0.10172448014980176,0.4599062632282197
Asaccharobacter_celatus,CP120,0.022921795452202704,0.8680705349900475
Asaccharobacter_celatus,HOMA.IR,-0.09151734426112008,0.5063586896036791
Asaccharobacter_celatus,AUC.Ins.,-0.07720380001241584,0.5753123601820964
Asaccharobacter_celatus,ALT,0.0012415815519462923,0.9928220716420008
Asaccharobacter_celatus,rGT,-0.02295171173329811,0.8678998837729855
Asaccharobacter_celatus,UA,-0.07813657837970307,0.5706907171816887
Asaccharobacter_celatus,TG,-0.17616281050930402,0.1982550142843564
Asaccharobacter_celatus,HDL,0.04965699401058394,0.7188249120143338
Asaccharobacter_celatus,FFA,0.03744309755782584,0.7860814926962548
Asaccharobacter_celatus,IL6,-0.09936590883992165,0.4704295231918477
Asaccharobacter_celatus,IL8,0.0965400280192423,0.4832059356566617
