names,P_46,P_45,P_44,P_42,P_38,P_37,P_35,P_33,P_32,P_30,P_29,P_28,P_27,P_26,P_25,P_23,P_22,P_21,P_20,P_19,P_18,P_17,P_16,P_15,P_9,P_8,P_6,P_5,P_4,P_2,P_1,NOP_31,NOP_30,NOP_29,NOP_28,NOP_27,NOP_24,NOP_23,NOP_22,NOP_21,NOP_20,NOP_19,NOP_18,NOP_17,NOP_15,NOP_14,NOP_13,NOP_12,NOP_11,NOP_10,NOP_8,NOP_7,NOP_6,NOP_2,NOP_1
Methanobrevibacter_smithii,0,0,0.00846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44761,0,0,0,0,0,0,0,0,0,1.22964,0,0.00183,0,0,0,0,13.09902,0,0,0,0,0,0,0,0,0,0,1.92688,0,0
Methanosphaera_stadtmanae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54874,0,0
Actinobaculum_sp_oral_taxon_183,0,0.00238,0,0,0.01192,0.00647,0.00465,0.00329,0.01334,0,0.0096,0,0,0,0,0,0.01174,0,0,0.00921,0.01377,0,0.00345,0,0.01061,0.00471,0.00845,0,0.00298,0,0.00256,0,0,0.00077,0,0,0.00525,0.00096,0,0,0,0,0,0,0,0,0,0.00577,0,0,0,0,0,0,0
Actinomyces_cardiffensis,0,0,0,0,0,0,0,0,0,0,0,0,0.00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_georgiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_graevenitzii,0.0086,0.02152,0,0.35168,0.00041,0.01291,0.00505,0.00161,0.02176,0,0.01329,0.00545,0.04428,0,0,0.00953,0.00946,0.0201,0.00507,0.00691,0.00328,0,0.01658,0,0.00449,0.01154,0.00254,0.02539,0.01351,0,0,0.05294,0.01699,0,0,0.01836,0,0.06203,0.00182,0.0028,0,0,0,0,0,0,0,0.01608,0.00212,0.00149,0.00168,0,0.00013,0,0.00866
Actinomyces_johnsonii,0.00245,0,0,0,0.0002,0.00932,0,0,0,0,0,0,0.03108,0,0,0,0,0.00112,0,0,0,0,0,0,0.01301,0,0,0.00815,0,0,0,0,0,0,0,0,0,0.00042,0,0,0,0,0,0,0.0038,0,0,0.00184,0,0,0,0,0.00109,0,0
Actinomyces_massiliensis,0,0,0,0,0,0.00263,0,0,0,0,0.00298,0,0,0,0,0,0,0,0,0,0,0,0.00034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_naeslundii,0.02358,0.00788,0,0,0.00882,0,0.0058,0.00075,0.00458,0.00109,0,0.00026,0,0,0,0,0.00822,0.00314,0.00165,0.00245,0.01289,0,0,0,0.00722,0.00088,0,0,0.0037,0,0.00324,0,0,0.00083,0,0,0.00098,0.00698,0,0,0,0,0,0,0.00785,0,0.00238,0,0,0.00205,0,0,0.00369,0,0
Actinomyces_odontolyticus,0.07015,0.06816,0,0.00659,0.00924,0.04227,0.00157,0.01257,0.02368,0.00822,0.0314,0.01379,0.00487,0.00282,0.00162,0.04923,0.01983,0.00247,0.01255,0.04223,0.01243,0.00153,0.00721,0,0.00809,0.0412,0.03649,0.02216,0.01155,0.00881,0.04688,0.02876,0.00953,0.00519,0.00566,0.01787,0.01733,0.01488,7.00E-05,0,0,0.0166,0,0,0.00241,0.00184,0.01037,0.01066,0.00468,0.01772,0.02401,0,0.05701,0.01155,0.02404
Actinomyces_oris,0.03343,0.01083,0,0.01309,0,0.01236,0.00388,0.00321,0,0.00279,0.00427,0,0.00333,0.00525,0,0.00307,0.00359,0.00165,0.00108,0,0.01949,0,0.00052,0,0.00665,0.02131,0.01428,0.00932,0.00763,0.00147,0.00592,0,0.00051,0.00683,0,0.00559,0,0.00565,0.00018,0,0,0.00414,0.00582,0,0.01986,0,0,0.00604,0.00127,0.00915,0,0,0.01232,0,0.00094
Actinomyces_sp_HMSC035G02,0.00871,0.02823,0.00074,0.00454,0.00669,0.00696,0.00588,0.00728,0.00569,0,0.00813,0.00923,0.0018,0,0,0.01698,0.00147,0,0.00029,0.00835,0.00756,0,0.00033,0,0.01034,0.01596,0.00441,0.00554,0.0007,0.00069,0.00487,0.02641,0.00226,0.00107,0.00206,0.00508,0.00937,0.00655,0,0,0,0,0,0,0,0.0001,0.02555,0.00269,0,0.01468,0.03159,0,0.01083,0.00079,0.00423
Actinomyces_sp_HPA0247,0,0.00331,0,0.02389,0,0,0,0,0.00373,0,0,0,0.04174,0,0.00023,0.00048,0,0,0,0,0,0,0,0,0.00181,0.00121,0.00105,0.02908,0.00558,0,0.00151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208,0.00276,0
Actinomyces_sp_ICM47,0.03768,0.09464,0.00166,0.34514,0.01535,0.07055,0.02297,0.04065,0.05217,0.0018,0.06446,0.03576,0.10872,0,0.0067,0.05554,0.03722,0.0185,0.06172,0.16773,0.04928,0.0013,0.01574,0,0.00839,0.0316,0.0424,0.1052,0.01436,0,0.01526,0.02288,0.03601,0.05471,0.00531,0.10496,0.0434,0.09506,0.0243,0.03066,0,0.00364,0,0,0.00123,0,0.0323,0.07248,0.02462,0.01043,0.01148,0.00139,0.00769,0.00029,0.04195
Actinomyces_sp_S6_Spd3,0.00204,0.04722,0.00016,0.02104,0.00632,0.02232,0.00297,0.01758,0.01404,0.00083,0.01482,0.03922,0.00948,0,0.00092,0.0578,0,0.00262,0.00454,0.00584,0.00969,0,0.00534,0,0.01314,0.01518,0.01598,0.01554,0.01048,0.00207,0.01638,0.02621,0.0008,0.01033,0.00031,0.00439,0.00956,0.00469,0,0,0,0.00874,0,0,0,0,0.0044,0.00521,0.00219,0.0102,0.03595,0,0.03512,0.01111,0.00601
Actinomyces_sp_oral_taxon_170,0,0,0,0,0,0,0,0,0,0,0.00336,0,0.00428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_sp_oral_taxon_180,0,0,0,0,0,0,0,0.00064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
